Time (s),Channel 1 (V),Channel 2 (V)
1.5208,4.9804,0.0098
1.5239,4.9853,0.0098
1.5279,4.9756,0.0098
1.5312,4.9853,0.0098
1.5353,4.9853,0.0098
1.5392,4.9853,0.0098
1.5435,4.9853,0.0098
1.5475,4.9707,0.0098
1.5515,4.9853,0.0098
1.5555,4.9804,0.0098
1.5587,4.9853,0.0098
1.563,4.9804,0.0098
1.567,4.9658,0.0098
1.5709,4.9804,0.0098
1.5739,4.9853,0.0098
1.578,4.9804,0.0098
1.5823,4.9804,0.0098
1.5863,4.9658,0.0098
1.5904,4.9804,0.0098
1.5937,4.9804,0.0098
1.5977,4.9804,0.0098
1.602,4.9853,0.0098
1.6061,4.9609,0.0098
1.6096,4.9804,0.0098
1.6136,4.9853,0.0147
1.6176,4.9804,0.0098
1.6209,4.9804,0.0098
1.6252,4.9658,0.0098
1.6293,4.9853,0.0147
1.6336,4.9804,0.0098
1.637,4.9853,0.0098
1.6414,4.9804,0.0098
1.6454,4.9658,0.0098
