Time,Channel 1,Channel 2
2.4395,-100.999,21.279
2.4431,132.6044,-187.3643
2.4471,37.4363,-84.2001
2.4514,-167.5698,160.7389
2.4546,97.6161,81.6512
2.4586,-138.3521,27.0612
2.4631,119.9386,-184.0316
2.4663,53.6288,-82.8704
2.4706,-167.1482,160.9871
2.4748,-73.4969,81.4762
2.4778,-14.2144,26.5236
2.4821,197.4471,-184.6639
2.4857,94.4629,-83.4434
2.4901,-152.6609,160.5424
2.4936,-75.1999,81.1734
2.4977,-23.2478,26.3453
2.5022,185.838,-184.7476
2.5054,83.6871,-83.4642
2.5089,-161.5188,160.3823
2.5134,-81.5598,81.3193
2.5174,-26.7126,26.4484
2.5216,184.1026,-184.5089
2.5246,82.9618,-83.5469
2.5288,-161.4261,-16.5147
2.533,-81.2375,197.4215
2.537,151.9119,96.4863
2.5412,67.9213,-150.1049
2.5462,12.9804,-73.3318
2.5481,-195.7135,-20.6515
2.552,-91.325,186.7896
2.556,156.16,84.1561
2.5602,78.4623,-160.6776
2.5633,24.9561,-81.5463
2.568,-184.5198,-26.4265
2.572,-82.9696,183.6045
2.5755,161.8052,82.846
2.5796,-96.4885,-161.1504
2.5846,143.7052,-81.333
2.588,-113.3277,-25.897
2.5914,-48.9007,184.2062
2.5954,171.3269,83.207
2.5994,-101.2093,17.4394
2.6034,132.295,-197.9308
2.6074,51.1357,-96.2449
2.6107,-176.3227,149.6404
2.6152,92.2994,73.109
2.6193,-141.1701,21.2913
2.6224,118.886,-187.3914
2.6264,54.0134,-84.2428
2.6304,-166.2656,160.5203
2.6344,104.6797,81.5546
2.6384,-129.7094,27.2189
2.642,128.6176,-183.9452
2.646,60.1444,-82.8354
2.65,-163.032,160.9897
2.654,106.047,81.2866
2.6582,-129.1845,26.6177
2.6614,127.9196,-184.615
2.6654,59.9874,-83.4261
2.6698,-163.4093,160.3653
2.673,-71.3928,81.2769
2.677,-13.1345,26.5754
2.681,197.4659,-184.842
2.685,94.2833,-83.5342
2.6885,-153.087,-16.3265
2.6926,-75.8549,197.3177
2.6966,154.1554,96.4252
2.7011,68.8689,-150.1337
2.7043,12.9249,-73.339
2.7088,-196.2751,-20.4713
2.7128,-92.0508,186.6852
2.7158,155.4737,84.2734
2.7207,77.9135,-160.8166
2.7246,24.5717,-81.6181
2.7287,-184.9293,-26.2765
2.7324,-82.9717,183.4928
2.7355,161.8376,82.6188
2.7395,81.7953,-161.048
2.7434,26.6901,-81.2537
2.7475,-184.0788,-25.8432
2.7514,-83.4435,184.2378
2.7559,161.1169,83.3968
2.7591,-97.1694,-160.5611
2.763,143.1443,-81.1745
2.767,-108.1282,-25.9871
2.771,-52.834,184.3539
2.7755,168.7989,83.4517
2.7785,-102.2332,17.3421
2.7835,132.0438,-198.0122
2.7865,51.4997,-96.4794
